pixel,t,1.489198021502586e-4,0.012203270141657056,Annual,cover,2781,Annual cover,44%,7.44599010751293e-5,1
allotment,t,1.2303696385100468e-4,0.011092202840329088,Annual,cover,405,Annual cover,36%,2.1043828407576095e-4,1
office,t,6.655892664074643e-5,0.008158365439274366,Annual,cover,65,Annual cover,20%,3.052362293216365e-4,1
pixel,t,1.1152958657848191e-4,0.010560756913142254,Perennial,cover,3385,Perennial cover,66%,5.5764793289240954e-5,1
allotment,t,4.039113331922152e-5,0.006355401900684293,Perennial,cover,449,Perennial cover,24%,1.3172515323809267e-4,1
office,t,1.6675629824495758e-5,0.0040835805152458745,Perennial,cover,67,Perennial cover,10%,1.6025853480995133e-4,1
pixel,t,5.693395921592025e-4,0.023860838043941426,Tree,cover,734,Tree cover,62%,2.8466979607960125e-4,1
allotment,t,2.7364000586989194e-4,0.016542067762824936,Tree,cover,131,Tree cover,30%,7.061595950941485e-4,1
office,t,7.865348810073067e-5,0.00886868017806092,Tree,cover,28,Tree cover,9%,8.823063420794597e-4,1
pixel,t,1.1652494549525267e-4,0.010794672088361585,Annual,cover,2211,Annual cover,31%,5.8262472747626336e-5,2
allotment,t,1.7676938174319046e-4,0.013295464705800638,Annual,cover,165,Annual cover,47%,2.0490963636684792e-4,2
office,t,7.945130163356462e-5,0.008913545962946768,Annual,cover,37,Annual cover,21%,3.3301997805522545e-4,2
pixel,t,1.15869603285798e-4,0.01076427439662321,Perennial,cover,2634,Perennial cover,57%,5.7934801642899e-5,2
allotment,t,7.482649810323874e-5,0.008650231101146301,Perennial,cover,175,Perennial cover,37%,1.5328285233741736e-4,2
office,t,1.3953107349790483e-5,0.0037353858368032724,Perennial,cover,40,Perennial cover,7%,1.9767265506393197e-4,2
pixel,t,6.865881385367781e-4,0.02620282691880359,Tree,cover,707,Tree cover,51%,3.4329406926838905e-4,2
allotment,t,4.7657856631264344e-4,0.02183067947436917,Tree,cover,72,Tree cover,36%,9.248774216930999e-4,2
office,t,1.7505111973940198e-4,0.013230688558778866,Tree,cover,20,Tree cover,13%,0.0012506922647191228,2
pixel,t,1.554699483424816e-4,0.012468758893429674,Annual,cover,2666,Annual cover,40%,7.77349741712408e-5,3
allotment,t,1.498123047963865e-4,0.012239783690751503,Annual,cover,379,Annual cover,39%,2.3037610074067483e-4,3
office,t,7.916454628510803e-5,0.008897446054071249,Annual,cover,60,Annual cover,21%,3.448645262814221e-4,3
pixel,t,9.6603095978566e-5,0.009828687398557653,Perennial,cover,3155,Perennial cover,53%,4.8301547989283e-5,3
allotment,t,6.213305942543302e-5,0.007882452627541317,Perennial,cover,415,Perennial cover,34%,1.2766962569128252e-4,3
office,t,2.2101854282578814e-5,0.0047012609247497434,Perennial,cover,64,Perennial cover,12%,1.6978708254528844e-4,3
pixel,t,4.5301527712495626e-4,0.021284155541739406,Tree,cover,968,Tree cover,48%,2.2650763856247813e-4,3
allotment,t,3.998856491155379e-4,0.019997141023544787,Tree,cover,171,Tree cover,42%,6.529581016827253e-4,3
office,t,9.04726793740426e-5,0.009511712746611023,Tree,cover,40,Tree cover,10%,8.981372659275155e-4,3
pixel,t,1.228340727091993e-4,0.011083053401892428,Annual,cover,12804,Annual cover,35%,6.141703635459965e-5,6
allotment,t,1.5793959637989757e-4,0.012567402133293005,Annual,cover,955,Annual cover,45%,2.0180387089914806e-4,6
office,t,7.119301827599932e-5,0.008437595526925861,Annual,cover,104,Annual cover,20%,3.163701782270965e-4,6
pixel,t,9.930616211084585e-5,0.009965247719492268,Perennial,cover,14825,Perennial cover,51%,4.9653081055422926e-5,6
allotment,t,6.182422794861312e-5,0.007862838415522292,Perennial,cover,983,Perennial cover,31%,1.3021827608515239e-4,6
office,t,3.532525027795371e-5,0.005943504881629501,Perennial,cover,103,Perennial cover,18%,1.787930151984358e-4,6
pixel,t,4.6397028849971003e-4,0.021539969556610566,Tree,cover,5290,Tree cover,56%,2.3198514424985502e-4,6
allotment,t,3.0367575911104274e-4,0.017426295048318295,Tree,cover,528,Tree cover,37%,6.158081680552314e-4,6
office,t,5.833643448903372e-5,0.007637829173857826,Tree,cover,81,Tree cover,7%,7.968142648552696e-4,6
pixel,t,1.3803012983789768e-4,0.011748622465544532,Annual,cover,12780,Annual cover,40%,6.901506491894884e-5,4
allotment,t,1.4570300168747404e-4,0.012070749839486942,Annual,cover,1848,Annual cover,42%,2.1088163068163474e-4,4
office,t,6.137573527766382e-5,0.00783426673516187,Annual,cover,138,Annual cover,18%,3.144209991642036e-4,4
pixel,t,1.1184850431843896e-4,0.010575845324059868,Perennial,cover,15117,Perennial cover,54%,5.592425215921948e-5,4
allotment,t,5.245146848178315e-5,0.0072423386058498495,Perennial,cover,2000,Perennial cover,26%,1.380742385593305e-4,4
office,t,4.1166778940108085e-5,0.006416134267618476,Perennial,cover,139,Perennial cover,20%,1.8488336227027614e-4,4
pixel,t,4.897630680080985e-4,0.02213059122590489,Tree,cover,5076,Tree cover,59%,2.448815340040493e-4,4
allotment,t,2.619180299584301e-4,0.016183881795120418,Tree,cover,869,Tree cover,32%,6.207220829873136e-4,4
office,t,7.951253604306586e-5,0.00891698020874028,Tree,cover,106,Tree cover,10%,7.914373659880616e-4,4
